Date,Ret,Universe,Model
2009-10-31,0.12786501511752668,C,RF_longonly_0bps_v1_1_1
2009-11-30,-0.07203389830508478,C,RF_longonly_0bps_v1_1_1
2009-12-31,-0.012580374615599799,C,RF_longonly_0bps_v1_1_1
2010-01-31,0.03274820687051738,C,RF_longonly_0bps_v1_1_1
2010-02-28,-0.004386365713241358,C,RF_longonly_0bps_v1_1_1
2010-03-31,0.04897336145612152,C,RF_longonly_0bps_v1_1_1
2010-04-30,-0.035474468161785955,C,RF_longonly_0bps_v1_1_1
2010-05-31,0.0013590904077802556,C,RF_longonly_0bps_v1_1_1
2010-06-30,0.015595815941364657,C,RF_longonly_0bps_v1_1_1
2010-07-31,-0.018962430597095858,C,RF_longonly_0bps_v1_1_1
2010-08-31,0.07412568986523889,C,RF_longonly_0bps_v1_1_1
2010-09-30,0.03144594789696001,C,RF_longonly_0bps_v1_1_1
2010-10-31,0.013184581395390582,C,RF_longonly_0bps_v1_1_1
2010-11-30,0.0676716784455445,C,RF_longonly_0bps_v1_1_1
2010-12-31,-0.01290343830262771,C,RF_longonly_0bps_v1_1_1
2011-01-31,0.04031319440673922,C,RF_longonly_0bps_v1_1_1
2011-02-28,0.040610858154430184,C,RF_longonly_0bps_v1_1_1
2011-03-31,0.06609590888518262,C,RF_longonly_0bps_v1_1_1
2011-04-30,-0.05487094802229277,C,RF_longonly_0bps_v1_1_1
2011-05-31,-0.051460682979120445,C,RF_longonly_0bps_v1_1_1
2011-06-30,0.03171164676647898,C,RF_longonly_0bps_v1_1_1
2011-07-31,0.007911593445540707,C,RF_longonly_0bps_v1_1_1
2011-08-31,-0.12365012637088851,C,RF_longonly_0bps_v1_1_1
2011-09-30,0.08790959390295203,C,RF_longonly_0bps_v1_1_1
2011-10-31,0.010165533322118716,C,RF_longonly_0bps_v1_1_1
2011-11-30,-0.06926357035884544,C,RF_longonly_0bps_v1_1_1
2011-12-31,0.014053721123227607,C,RF_longonly_0bps_v1_1_1
2012-01-31,0.027446298596427228,C,RF_longonly_0bps_v1_1_1
2012-02-29,-0.05292781072341094,C,RF_longonly_0bps_v1_1_1
2012-03-31,0.0033823063635663214,C,RF_longonly_0bps_v1_1_1
2012-04-30,-0.09758821214661495,C,RF_longonly_0bps_v1_1_1
2012-05-31,0.024571269275858305,C,RF_longonly_0bps_v1_1_1
2012-06-30,0.007586997203296364,C,RF_longonly_0bps_v1_1_1
2012-07-31,0.04513764046998472,C,RF_longonly_0bps_v1_1_1
2012-08-31,0.009828159080658871,C,RF_longonly_0bps_v1_1_1
2012-09-30,-0.05117004410433064,C,RF_longonly_0bps_v1_1_1
2012-10-31,0.0039988071122954065,C,RF_longonly_0bps_v1_1_1
2012-11-30,0.015706783276342326,C,RF_longonly_0bps_v1_1_1
2012-12-31,0.03581141701527795,C,RF_longonly_0bps_v1_1_1
2013-01-31,-0.03267125837918172,C,RF_longonly_0bps_v1_1_1
2013-02-28,0.012127914426363427,C,RF_longonly_0bps_v1_1_1
2013-03-31,0.012104896681437835,C,RF_longonly_0bps_v1_1_1
2013-04-30,-0.017825031391120884,C,RF_longonly_0bps_v1_1_1
2013-05-31,-0.041970197228467745,C,RF_longonly_0bps_v1_1_1
2013-06-30,0.08935630510370002,C,RF_longonly_0bps_v1_1_1
2013-07-31,0.0142355808423145,C,RF_longonly_0bps_v1_1_1
2013-08-31,0.020458070138088237,C,RF_longonly_0bps_v1_1_1
2013-09-30,-0.0005451351570201352,C,RF_longonly_0bps_v1_1_1
2013-10-31,0.003344448338305774,C,RF_longonly_0bps_v1_1_1
2013-11-30,-0.004495193796548565,C,RF_longonly_0bps_v1_1_1
2013-12-31,0.02962024202286433,C,RF_longonly_0bps_v1_1_1
